
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio promedio del periodo"

"Fecha de consulta: 23/04/2021 09:53:26"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación Cotizaciones promedio"
"Tipo de información","Niveles"
"Fecha","SF329"
01/01/1994,3.1075
01/02/1994,3.1115
01/03/1994,3.2841
01/04/1994,3.3536
01/05/1994,3.3120
01/06/1994,3.3607
01/07/1994,3.4009
01/08/1994,3.3821
01/09/1994,3.3998
01/10/1994,3.4158
01/11/1994,3.4426
01/12/1994,3.9308
01/01/1995,5.5133
01/02/1995,5.6854
01/03/1995,6.7019
01/04/1995,6.2996
01/05/1995,5.9627
01/06/1995,6.2232
01/07/1995,6.1394
01/08/1995,6.1909
01/09/1995,6.3025
01/10/1995,6.6911
01/11/1995,7.6584
01/12/1995,7.6597
01/01/1996,7.5048
01/02/1996,7.5042
01/03/1996,7.5736
01/04/1996,7.4713
01/05/1996,7.4345
01/06/1996,7.5425
01/07/1996,7.6229
01/08/1996,7.5141
01/09/1996,7.5447
01/10/1996,7.6851
01/11/1996,7.9189
01/12/1996,7.8767
01/01/1997,7.8299
01/02/1997,7.7926
01/03/1997,7.9628
01/04/1997,7.9037
01/05/1997,7.9057
01/06/1997,7.9465
01/07/1997,7.8857
01/08/1997,7.7843
01/09/1997,7.7792
01/10/1997,7.8114
01/11/1997,8.2837
01/12/1997,8.1360
01/01/1998,8.1798
01/02/1998,8.4932
01/03/1998,8.5689
01/04/1998,8.4996
01/05/1998,8.5612
01/06/1998,8.8948
01/07/1998,8.9040
01/08/1998,9.2596
01/09/1998,10.2154
01/10/1998,10.1523
01/11/1998,9.9874
01/12/1998,9.9117
01/01/1999,10.1104
01/02/1999,10.0150
01/03/1999,9.7694
01/04/1999,9.4461
01/05/1999,9.3623
01/06/1999,9.5418
01/07/1999,9.3671
01/08/1999,9.3981
01/09/1999,9.3403
01/10/1999,9.5403
01/11/1999,9.4205
01/12/1999,9.4151
01/01/2000,9.4793
01/02/2000,9.4456
01/03/2000,9.2959
01/04/2000,9.3748
01/05/2000,9.5081
01/06/2000,9.7978
01/07/2000,9.4688
01/08/2000,9.2846
01/09/2000,9.3319
01/10/2000,9.5182
01/11/2000,9.5179
01/12/2000,9.4439
01/01/2001,9.7701
01/02/2001,9.7027
01/03/2001,9.6182
01/04/2001,9.3508
01/05/2001,9.1467
01/06/2001,9.0957
01/07/2001,9.1560
01/08/2001,9.1272
01/09/2001,9.3841
01/10/2001,9.3685
01/11/2001,9.2223
01/12/2001,9.1672
01/01/2002,9.1614
01/02/2002,9.1062
01/03/2002,9.0809
01/04/2002,9.1317
01/05/2002,9.4899
01/06/2002,9.7378
01/07/2002,9.7978
01/08/2002,9.8258
01/09/2002,10.0425
01/10/2002,10.0961
01/11/2002,10.2032
01/12/2002,10.1982
01/01/2003,10.5762
01/02/2003,10.9216
01/03/2003,10.9427
01/04/2003,10.6324
01/05/2003,10.2506
01/06/2003,10.4953
01/07/2003,10.4434
01/08/2003,10.7327
01/09/2003,10.9255
01/10/2003,11.1704
01/11/2003,11.1145
01/12/2003,11.2629
01/01/2004,10.9308
01/02/2004,11.0128
01/03/2004,10.9984
01/04/2004,11.2535
01/05/2004,11.5119
01/06/2004,11.3790
01/07/2004,11.4735
01/08/2004,11.3957
01/09/2004,11.4858
01/10/2004,11.3864
01/11/2004,11.3938
01/12/2004,11.2100
01/01/2005,11.2556
01/02/2005,11.1502
01/03/2005,11.1326
01/04/2005,11.1262
01/05/2005,10.9920
01/06/2005,10.8340
01/07/2005,10.6931
01/08/2005,10.6703
01/09/2005,10.7791
01/10/2005,10.8312
01/11/2005,10.6903
01/12/2005,10.6201
01/01/2006,10.5679
01/02/2006,10.4813
01/03/2006,10.7061
01/04/2006,11.0206
01/05/2006,11.0758
01/06/2006,11.3864
01/07/2006,11.0268
01/08/2006,10.8739
01/09/2006,10.9722
01/10/2006,10.9201
01/11/2006,10.8948
01/12/2006,10.8650
01/01/2007,10.9344
01/02/2007,10.9880
01/03/2007,11.1250
01/04/2007,10.9924
01/05/2007,10.8301
